EVENT,BOUT,ROUND,FIGHTER,KD,SIG.STR.,SIG.STR. %,TOTAL STR.,TD,TD %,SUB.ATT,REV.,CTRL,HEAD,BODY,LEG,DISTANCE,CLINCH,GROUND
UFC Fight Night: Holloway vs. The Korean Zombie,Anthony Smith vs. Ryan Spann,Round 1,Anthony Smith,0,24 of 42,57%,24 of 42,1 of 3,33%,0,0,0:45,9 of 25,1 of 1,14 of 16,23 of 41,1 of 1,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Anthony Smith vs. Ryan Spann,Round 2,Anthony Smith,0,22 of 36,61%,22 of 36,0 of 0,---,0,0,0:11,10 of 22,4 of 4,8 of 10,22 of 36,0 of 0,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Anthony Smith vs. Ryan Spann,Round 3,Anthony Smith,0,45 of 69,65%,45 of 69,0 of 0,---,0,0,0:00,25 of 45,7 of 10,13 of 14,45 of 69,0 of 0,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Anthony Smith vs. Ryan Spann,Round 1,Ryan Spann,0,10 of 41,24%,10 of 41,0 of 1,0%,0,0,0:00,5 of 32,4 of 8,1 of 1,10 of 41,0 of 0,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Anthony Smith vs. Ryan Spann,Round 2,Ryan Spann,0,22 of 60,36%,25 of 64,0 of 0,---,0,0,1:19,16 of 52,5 of 7,1 of 1,13 of 47,0 of 0,9 of 13
UFC Fight Night: Holloway vs. The Korean Zombie,Anthony Smith vs. Ryan Spann,Round 3,Ryan Spann,0,27 of 86,31%,27 of 86,0 of 0,---,0,0,0:00,18 of 74,5 of 8,4 of 4,27 of 86,0 of 0,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Giga Chikadze vs. Alex Caceres,Round 1,Giga Chikadze,0,17 of 30,56%,17 of 30,0 of 0,---,0,0,0:00,7 of 16,5 of 8,5 of 6,17 of 30,0 of 0,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Giga Chikadze vs. Alex Caceres,Round 2,Giga Chikadze,0,23 of 44,52%,23 of 44,0 of 0,---,0,0,0:00,14 of 30,4 of 9,5 of 5,23 of 43,0 of 1,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Giga Chikadze vs. Alex Caceres,Round 3,Giga Chikadze,0,25 of 67,37%,25 of 67,0 of 0,---,0,0,0:00,4 of 37,13 of 21,8 of 9,25 of 66,0 of 1,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Giga Chikadze vs. Alex Caceres,Round 1,Alex Caceres,0,15 of 39,38%,15 of 39,0 of 0,---,0,0,0:00,5 of 23,5 of 10,5 of 6,15 of 39,0 of 0,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Giga Chikadze vs. Alex Caceres,Round 2,Alex Caceres,0,24 of 61,39%,24 of 61,0 of 0,---,0,0,0:00,8 of 40,12 of 16,4 of 5,24 of 61,0 of 0,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Giga Chikadze vs. Alex Caceres,Round 3,Alex Caceres,0,23 of 68,33%,23 of 68,0 of 0,---,0,0,0:00,12 of 47,8 of 18,3 of 3,23 of 68,0 of 0,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Rinya Nakamura vs. Fernie Garcia,Round 1,Rinya Nakamura,0,9 of 13,69%,17 of 25,2 of 2,100%,1,0,3:55,3 of 5,4 of 6,2 of 2,4 of 6,0 of 0,5 of 7
UFC Fight Night: Holloway vs. The Korean Zombie,Rinya Nakamura vs. Fernie Garcia,Round 2,Rinya Nakamura,0,11 of 22,50%,17 of 29,1 of 1,100%,1,0,2:31,5 of 14,3 of 3,3 of 5,8 of 19,0 of 0,3 of 3
UFC Fight Night: Holloway vs. The Korean Zombie,Rinya Nakamura vs. Fernie Garcia,Round 3,Rinya Nakamura,0,16 of 22,72%,22 of 30,1 of 1,100%,1,0,3:00,8 of 12,3 of 4,5 of 6,13 of 19,0 of 0,3 of 3
UFC Fight Night: Holloway vs. The Korean Zombie,Rinya Nakamura vs. Fernie Garcia,Round 1,Fernie Garcia,0,3 of 8,37%,21 of 27,0 of 0,---,0,0,0:00,2 of 5,1 of 1,0 of 2,1 of 6,0 of 0,2 of 2
UFC Fight Night: Holloway vs. The Korean Zombie,Rinya Nakamura vs. Fernie Garcia,Round 2,Fernie Garcia,0,6 of 28,21%,16 of 39,0 of 0,---,1,0,0:00,3 of 22,1 of 3,2 of 3,6 of 28,0 of 0,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Rinya Nakamura vs. Fernie Garcia,Round 3,Fernie Garcia,0,6 of 30,20%,13 of 40,0 of 0,---,0,0,0:00,4 of 26,2 of 3,0 of 1,6 of 29,0 of 1,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Erin Blanchfield vs. Taila Santos,Round 1,Erin Blanchfield,0,26 of 55,47%,36 of 69,0 of 4,0%,0,0,1:22,16 of 45,7 of 7,3 of 3,20 of 49,6 of 6,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Erin Blanchfield vs. Taila Santos,Round 2,Erin Blanchfield,0,9 of 18,50%,34 of 58,0 of 4,0%,0,0,4:01,3 of 9,4 of 7,2 of 2,5 of 9,3 of 7,1 of 2
